서울특별시의회 회의록 제284회[정례회] (2018.11.01 ~ 2018.12.20),주석
 이후에는 2018년도 예산안과 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
" 아마 내년 초나 이렇게 되면, 조례",
"습니다. 구를 하려면 첫째, 구 조례",
? 예를 들어서 저희가 하다못해 조례,
시 행정사무감사 및 조사에 관한 조례,
마련 중입니다. 이에 따라 관련 조례,
 전 임시회에서 교육위원님들께서 조례,
위원회 구성 및 운영 등에 관한 조례,
" 저희가 조사한 결과로는, 지금 조례",
"1,330여 교입니다. 상위법인 조례",
나고 있지요? 6%도 안 돼요. 조례,
0월 23일까지 제출해 달라고. 조례,
 법적근거가 없는 센터도 있죠? 조례,
었는데 저희 9월에 취업지원센터 조례,
"있습니다. 아니, 그런 센터들을 조례",
은 경우에는 몇 년을 운영하다가 조례,
"학교, 중학교인 경우에는 저희가 조례",
지금 서울시교육청 행정기구 설치 조례,
하고 안 맞네요? 행정기구 설치 조례,
"어요. 왜, 우리 행정기구 설치 조례",
그렇지요? 그리고 행정기구 설치 조례,
도 문제가 있지만 행정기구 설치 조례,
"다가 슬그머니 규칙으로, 그것도 조례",
 동의를 구하고 나오세요. 이거 조례,
까지는 규칙 바꿔오세요. 아니면 조례,
니면 조례로 다 만들어드릴까요? 조례,
해서 센터 만들라고 하니까 그냥 조례,
아까 말씀하셨지만 센터에 대해서 조례,
 때 의회에 보고하십니까? 주로 조례,
않으십니다. 이건 교육청에……. 조례,
조례에 근거가 있는 위탁을……. 조례,
"육청에 현재 있고, 서울시교육청 조례",
" 확인을 하고, 다음에 민간위탁 조례",
시 행정사무감사 및 조사에 관한 조례,
추진비 집행기준 및 공개에 관한 조례,
에서도 업무추진비에 대한 공개를 조례,
습니다. 안 되고 있어요. 제가 조례,
"고 있지 않다, 2014년도부터 조례",
"세금이 어떻게 쓰였는지, 그리고 조례",
"서지요? 네, 맞습니다. 그러면 조례",
"고 있는지, 문제는 없는지, 관련조례",
관련조례가 제가 발의해서 제정한 조례,
위원회 구성 및 운영 등에 관한 조례,
아니라 이게 굉장히 쟁점이 됐던 조례,
 모르실 수 있겠지만 당시에 이 조례,
가 되느냐 해서 힘들게 통과됐던 조례,
 이유는? 저희가 말씀드린 대로 조례,
그에 따른 후속 규칙개정이라든가 조례,
히 낮게 계약되어 있는 경우에는 조례,
있습니다. 얼마 전에 또 정원을 조례,
현황에 따르면 교육청에서 법령과 조례,
 것은 교육청의 업무를 법령이나 조례,
의 정말 민간위탁입니다. 이것은 조례,
단체를 지원하려면 민간단체 지원 조례,
30명에서 50명 늘어나는 그런 조례,
"고요, 전국 최초로 2015년에 조례",
로 알고 있습니다. 전국 최초로 조례,
 느끼실 것 같은데 교육청이 인권조례,
. 배경은 원래 학칙과 현행 인권조례,
명을 요청했었는데 사적으로는 인권조례,
당관 양희두입니다 혹시 학부모회 조례,
서 해당 학교 교장께서 학부모회 조례,
것을 들었는데 구체적으로 학부모 조례,
. 내용은 알고 있는데 학부모회 조례,
흔치 않은 사례이긴 합니다만 관련조례,
 학부모회 구성과 관련된 부분은 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
서울특별시교육청 다문화교육 진흥 조례,
있습니다. 그래서 제가 교권보호 조례,구체적이지만 실제로 아직 추진하지 않은 조례라 제외하였습니다.
시 행정사무감사 및 조사에 관한 조례,
이해가 안 되는데요. 통상 각종 조례,
육청에서 그렇게 요란하게 학생인권조례,
어야지요. 2012년도에 학생인권조례,
"유념해서 지금 해 나가고 있고, 조례",
교 및 시설의 개방 이용에 관한 조례,
"가 있지요? 네, 있습니다. 그 조례",
 방과후강사 관련 또 방과후교실 조례,방과후 관련 조례도 서울에 없다고 전문에서 확인하여 제외하였습니다. 
정이 아무 것도 없고 그나마 이 조례,
이 부분을 잘 파악하셔서 방과후 조례,
우리 국ㆍ공립 시설에 대한 이용 조례,전문에는 있다고 언급했는데 실제 관련 조례를 찾지 못하여 제외하였습니다.
가능하다고 보십니까? 사립이라도 조례,
가 있기 때문에 어려움이 있는데 조례,
시 행정사무감사 및 조사에 관한 조례,
시 행정사무감사 및 조사에 관한 조례,
기 위해서 서울시 심야교습 금지 조례,"서울특별시 학원 설립, 운영 및 과외교습에 관한 조례를 의미하는 것 같아 추가하였습니다."
년에 2017년 7월 19일부터 조례,
말씀을 드리고 관련해서 지원하는 조례,
 조례도 만들었으면 좋겠다 해서 조례,
시 행정사무감사 및 조사에 관한 조례,
 잡고 있거든요. 여기에 대해서 조례,
에 관해가지고 영역이 저희는 그 조례,
