서울특별시의회 회의록 제298회[정례회](2020.11.02 ~ 2020.12.22)
감사 이후에는 2021년도 예산안과 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
배치나 이런 게 우리 교육청에 있는 조례
교육청에 있는 조례나 아니면 서울시 조례
있나요? 서울시에 학교 도서관 운영 조례
기에 대해서 근거가 학교도서관 운영 조례
는 것에 대해서. 그 부분에 대해서 조례
중요한 문제로 보고 있습니다. 지금 조례
 것으로 제가 듣고 있습니다. 지금 조례
. 지금 조례안을 제출한 게 아니라 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
있고 본청에서는 관련 부서에 법령과 조례
학습 주제들이 대체적으로 다 법령과 조례
시의회 행정사무감사 및 조사에 관한 조례
쭤볼게요. 학교도서관의 운영에 관한 조례
교육청은 학교도서관 운영과 관련해서 조례
 텐데 만들지 않은 이유는 뭡니까? 조례
섯 청이 있고요. 그 부분에 대해서 조례
 곳은 안 열고 이런 유무가 특별히 조례
질의하겠습니다. 서울특별시 혁신학교 조례
들은 행정행위를 함에 있어서 법령과 조례
그런 지위라서 지금 대부분이 법령과 조례
는 말씀드립니다. 맞습니다. 법령과 조례
분들은 그 중요성을 각각 강조하면서 조례
을 하겠습니다. 그래서 계속 그렇게 조례
"다. 그래서 계속 그렇게 조례로서, 조례"
경우들도 있더라고요. 그리고 서울시 조례
울시 조례에서도 그리고 우리 교육청 조례
또 법령이 그렇게 되어 있기 때문에 조례
청이 아까 전에 말씀하신 것처럼 운영조례
하게 만들 수 있는 첫 번째 걸음이 조례
"번째 걸음이 조례라고 생각을 하고, 조례"
시의회 행정사무감사 및 조사에 관한 조례
리 교육청에 보면 학교환경교육 진흥 조례
진흥 조례라고 있었어요. 그래서 그 조례
 본 위원도 지금 현재 관련부서하고 조례
지난번 교육감께서도 우리가 법령이나 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
 해서 이런 문제가 있기 때문에 관련조례
하드웨어적으로는 지금 말씀드린 대로 조례
살예방 및 생명존중문화 조성을 위한 조례
금 판단을 하고 있고요. 또 관련된 조례
희들이 법적 근거를 마련하기 위해서 조례
년차……. 작년에 저희 위원들이 그 조례
습니다. 거기에 대해서 행여나 이런 조례
법제처의 유권해석에 의하면 저희들이 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
"다, 예산의 문제고 구조의 문제고, 조례"
"제고 구조의 문제고, 조례의 문제면 조례"
그래서 교육청에 학생 도박 예방교육 조례
 맞죠? 네. 저희들 도박에 관련된 조례
 일단은 저희들 학생 도박 예방교육 조례
모작지원센터가 활동하고 있는데 법적 조례
속적으로 계속해야 되는 사항인가요? 조례
단체인 경우는 그 운영과 관련해서는 조례
이렇게 돼 있었습니다. 그래서 현재 조례
 지금 부정적으로 보는 시각들을 이 조례
않을 것 같습니다마는 보험이나 시도 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
립학교 시설의 개방 및 이용에 관한 조례
요. 그리고 현재 의무 개방을 우리 조례
서 내년부터는 적용하도록……. 이거 조례
거 조례를 정할 수는 없나요? 지금 조례
이 있었고 이런 민원도 있어서 결국 조례
런 불편함과 아쉬움이 있어서 이렇게 조례
좀 제지해 주세요. 그래서 안 되면 조례
시의회 행정사무감사 및 조사에 관한 조례
 위원이 이런 노출된 환경을 느끼고 조례
자치법 제39조부터 제40조 등등. 조례
지 않나요? 저 역시 의정활동하면서 조례
시의회 행정사무감사 및 조사에 관한 조례
요 또 전국에서 가장 먼저 협동조합 조례
 그 부분에 있어서도 서울시와 지금 조례
 그러면 각 구청별로 교육경비 보조 조례
지금 서울시 교육경비 보조 관련해서 조례
니까? 저희가 교육경비 보조에 관한 조례
"어려운 부분일 거예요, 그런 형태로 조례"
 오해받을 수도 있어요. 그래서 그 조례
 소속 자문위원회가 있습니다. 우리 조례
이것뿐만 아니라 교육청에서 관할하는 조례
시대가 변하고 교육도 변하고 있는데 조례
 만드는 거예요? 어떤 법이나 어떤 조례
아보시고요 만약에 부족하다고 그러면 조례
